"Common IMEI/MEID","Common Serial Number","Common Model Name","Common Market Name","Common SKU","Common Supported Services","Common Latest OS Version","Common Installed SPL","Common Enrollment Profile","Common License Name/Type","Common Tags","Common Buyer Code","Common Wifi Mac Address","Common Upload Source","Common Last Uploaded By","Common Last Seen","Common Last Modified Date","KME Device Status","KME EMM Auto Enrollment","KME Order Number","KME Submitted","KME OS Version","KME Tags","KME Lock Status","KME Last Seen","KME Last Modified","KFM Firmware","KFM Security Patch","KFM Operation Status","KFM Client Status","KFM Error Code","KFM Auto Enrollment","KFM Campaign","KFM Gradual Campaign Rollout Start","KFM Update Status","KFM EMM Group","KFM Emm Status","KFM Sales Code","KFM CSC","KFM Order Number","KFM OS Version","KFM Tags","KFM Last Seen","KFM Last Modified","KAI Device Status","KAI Device Group","KAI Auto Enrollment","KAI Permissions","KAI Battery Health","KAI Battery Status","KAI Device Health","KAI Firmware Version","KAI OS Version","KAI Tags","KAI Last Seen","KAI Last Modified","KC Profile","KC Service End Date","KC Device Status","KC Knox Version","KC Custom ID","KC OS Version","KC Tags","KC Last Seen","KC Last Modified"
"350842061114949","R92X40KQJXW","SM-X218U","Galaxy Tab A9+ 5G","SM-X218UZAAVZW","All services","","","Knox Manage (Advanced)","Knox Suite - Essentials Plan Monthly VERIZON;Knox Suite Essentials Plan","","","9C:39:28:3A:28:BC","Reseller","Verizon Wireless","2024 Aug 30","2024 Aug 30","Enrolled (restricted)","On","P003101_2113036_18","2024 Jun 07","14","Drivers","UNLOCKED","2024 Aug 30","2024 Aug 30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unassigned","","","","","","2024 Jun 07"
"350842061115680","R92X40KQM5V","SM-X218U","Galaxy Tab A9+ 5G","SM-X218UZAAVZW","All services","","","Knox Manage (Advanced)","Knox Suite - Essentials Plan Monthly VERIZON;Knox Suite Essentials Plan","","","9C:39:28:3A:29:50","Reseller","Verizon Wireless","2024 Aug 30","2024 Aug 30","Enrolled (restricted)","On","P003101_2113056_118","2024 Jun 07","14","Drivers","UNLOCKED","2024 Aug 30","2024 Aug 30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unassigned","","","","","","2024 Jun 07"
"350842061120565","R92X40KR2YL","SM-X218U","Galaxy Tab A9+ 5G","SM-X218UZAAVZW","All services","","","Knox Manage (Advanced)","Knox Suite - Essentials Plan Monthly VERIZON;Knox Suite Essentials Plan","","","9C:39:28:3A:2D:20","Reseller","Verizon Wireless","2024 Sep 03","2024 Sep 03","Enrolled (restricted)","On","P003101_2113056_74","2024 Jun 07","14","Drivers","UNLOCKED","2024 Sep 03","2024 Sep 03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unassigned","","","","","","2024 Jun 07"
"350842061124849","R92X40KRFXX","SM-X218U","Galaxy Tab A9+ 5G","SM-X218UZAAVZW","All services","","","Knox Manage (Advanced)","Knox Suite - Essentials Plan Monthly VERIZON;Knox Suite Essentials Plan","","","9C:39:28:3A:30:78","Reseller","Verizon Wireless","2024 Aug 30","2024 Aug 30","Enrolled (restricted)","On","P003101_2113036_82","2024 Jun 07","14","Drivers","UNLOCKED","2024 Aug 30","2024 Aug 30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unassigned","","","","","","2024 Jun 07"
"350842061115805","R92X40KQMHB","SM-X218U","Galaxy Tab A9+ 5G","SM-X218UZAAVZW","All services","Android 14","","Knox Manage (Advanced)","Knox Suite - Essentials Plan Monthly VERIZON;Knox Suite Essentials Plan","","","9C:39:28:3A:29:68","Reseller","Verizon Wireless","2024 Oct 16","2024 Oct 16","Enrolled (restricted)","On","P003101_2113056_174","2024 Jun 07","14","Drivers","UNLOCKED","2024 Oct 16","2024 Oct 16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unassigned","","","","","","2024 Jun 07"
"350842061125853","R92X40KRJZF","SM-X218U","Galaxy Tab A9+ 5G","SM-X218UZAAVZW","All services","","","Knox Manage (Advanced)","Knox Suite - Essentials Plan Monthly VERIZON;Knox Suite Essentials Plan","","","9C:39:28:3A:31:42","Reseller","Verizon Wireless","2024 Aug 30","2024 Aug 30","Enrolled (restricted)","On","P003101_2113036_194","2024 Jun 07","14","Drivers","UNLOCKED","2024 Aug 30","2024 Aug 30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unassigned","","","","","","2024 Jun 07"
"356655901557182","R9ZL304XYHX","SM-X117U","Galaxy Tab A9","SM-X117UZAAVZW","All services","","","Knox Manage (Advanced)","","","","78:60:89:05:7D:C2","Reseller","Verizon Wireless","","2026 Jun 05","Profile assigned","On","VZW_1806301_4387028_10","2026 May 30","","","UNLOCKED","","2026 Jun 05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unassigned","","","","","","2026 May 30"
"350842061109659","R92X40KQ2WY","SM-X218U","Galaxy Tab A9+ 5G","SM-X218UZAAVZW","All services","","","Knox Manage (Advanced)","Knox Suite - Essentials Plan Monthly VERIZON;Knox Suite Essentials Plan","","","9C:39:28:3A:24:9A","Reseller","Verizon Wireless","2024 Aug 30","2024 Aug 30","Enrolled (restricted)","On","P003101_2113056_122","2024 Jun 07","14","Drivers","UNLOCKED","2024 Aug 30","2024 Aug 30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unassigned","","","","","","2024 Jun 07"
"350842061109451","R92X40KQ29L","SM-X218U","Galaxy Tab A9+ 5G","SM-X218UZAAVZW","All services","","","Knox Manage (Advanced)","Knox Suite - Essentials Plan Monthly VERIZON;Knox Suite Essentials Plan","","","9C:39:28:3A:24:72","Reseller","Verizon Wireless","2024 Aug 30","2024 Aug 30","Enrolled (restricted)","On","P003101_2113056_138","2024 Jun 07","14","Drivers","UNLOCKED","2024 Aug 30","2024 Aug 30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unassigned","","","","","","2024 Jun 07"
"350842061139664","R92X40KYXDD","SM-X218U","Galaxy Tab A9+ 5G","SM-X218UZAAVZW","All services","","","Knox Manage (Advanced)","Knox Suite - Essentials Plan Monthly VERIZON;Knox Suite Essentials Plan","","","9C:39:28:3A:B8:6C","Reseller","Verizon Wireless","2025 Sep 01","2025 Sep 01","Enrolled (restricted)","On","P003101_2113056_18","2024 Jun 07","14","Drivers","UNLOCKED","2025 Sep 01","2025 Sep 01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unassigned","","","","","","2024 Jun 07"
